n = 5 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 1448327 | dataRider[i].timeRAC = 1449495
n = 10 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 1449495 | dataRider[i].timeRAC = 1458558
n = 15 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 1454916 | dataRider[i].timeRAC = 1471235
n = 20 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 1458558 | dataRider[i].timeRAC = 2228012
n = 25 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 1462371 | dataRider[i].timeRAC = 2236348
n = 30 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 1471235 | dataRider[i].timeRAC = 2248885
n = 35 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2219157 | dataRider[i].timeRAC = 2336536
n = 40 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2228012 | dataRider[i].timeRAC = 2346980
n = 45 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2233830 | dataRider[i].timeRAC = 2352720
n = 50 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2236348 | dataRider[i].timeRAC = 2369085
n = 55 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2247678 | dataRider[i].timeRAC = 2373845
n = 60 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2248885 | dataRider[i].timeRAC = 2380298
n = 65 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2268399 | dataRider[i].timeRAC = 2384931
n = 70 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2336536 | dataRider[i].timeRAC = 2387348
n = 75 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2343688 | dataRider[i].timeRAC = 2392035
n = 80 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2346980 | dataRider[i].timeRAC = 2397685
n = 85 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2349439 | dataRider[i].timeRAC = 2402699
n = 90 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2352720 | dataRider[i].timeRAC = 2416083
n = 95 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2362899 | dataRider[i].timeRAC = 2418877
n = 100 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2369085 | dataRider[i].timeRAC = 2428986
n = 105 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2370204 | dataRider[i].timeRAC = 2439565
n = 110 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2373845 | dataRider[i].timeRAC = 2440367
n = 115 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2380045 | dataRider[i].timeRAC = 2442468
n = 120 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2380298 | dataRider[i].timeRAC = 2449142
n = 125 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2384595 | dataRider[i].timeRAC = 2450325
n = 130 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2384931 | dataRider[i].timeRAC = 2452513
n = 135 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2386823 | dataRider[i].timeRAC = 2458889
n = 140 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2387348 | dataRider[i].timeRAC = 2460564
n = 145 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2389422 | dataRider[i].timeRAC = 2463171
n = 150 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2392035 | dataRider[i].timeRAC = 2466489
n = 155 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2395138 | dataRider[i].timeRAC = 2469091
n = 160 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2397685 | dataRider[i].timeRAC = 2472097
n = 165 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2401352 | dataRider[i].timeRAC = 2476863
n = 170 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2402699 | dataRider[i].timeRAC = 2477566
n = 175 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2409663 | dataRider[i].timeRAC = 2478840
n = 180 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2416083 | dataRider[i].timeRAC = 2480599
n = 185 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2418341 | dataRider[i].timeRAC = 2483249
n = 190 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2418877 | dataRider[i].timeRAC = 2486698
n = 195 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2426216 | dataRider[i].timeRAC = 2488127
n = 200 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2428986 | dataRider[i].timeRAC = 2492977
n = 205 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2439168 | dataRider[i].timeRAC = 2493782
n = 210 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2439565 | dataRider[i].timeRAC = 2494724
n = 215 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2439923 | dataRider[i].timeRAC = 2497233
n = 220 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2440367 | dataRider[i].timeRAC = 2501411
n = 225 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2441047 | dataRider[i].timeRAC = 2502765
n = 230 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2442468 | dataRider[i].timeRAC = 2503363
n = 235 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2448729 | dataRider[i].timeRAC = 2505695
n = 240 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2449142 | dataRider[i].timeRAC = 2507019
n = 245 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2450077 | dataRider[i].timeRAC = 2508403
n = 250 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2450325 | dataRider[i].timeRAC = 2510761
n = 255 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2452256 | dataRider[i].timeRAC = 2511608
n = 260 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2452513 | dataRider[i].timeRAC = 2514340
n = 265 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2456524 | dataRider[i].timeRAC = 2516932
n = 270 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2458889 | dataRider[i].timeRAC = 2521085
n = 275 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2460314 | dataRider[i].timeRAC = 2525109
n = 280 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2460564 | dataRider[i].timeRAC = 2527972
n = 285 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2460882 | dataRider[i].timeRAC = 2531394
n = 290 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2463171 | dataRider[i].timeRAC = 2543315
n = 295 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2464128 | dataRider[i].timeRAC = 2553658
n = 300 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2466489 | dataRider[i].timeRAC = 2557661
n = 305 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2467308 | dataRider[i].timeRAC = 2566342
n = 310 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2469091 | dataRider[i].timeRAC = 2572313
